index	date	traffic	Entity	Class	DayOfWeek	DayOfMonth	WeekOfYear	Month	Year	DaysFromStart	Delta
0	2020-01-01	190.0	A	High	2	1	1	1	2020	0.0	0.0
1	2020-01-02	192.05	A	High	3	2	1	1	2020	1.0	2.0500000000000114
2	2020-01-03	198.1	A	High	4	3	1	1	2020	2.0	6.049999999999983
3	2020-01-04	208.15	A	High	5	4	1	1	2020	3.0	10.050000000000011
4	2020-01-05	189.2	A	High	6	5	1	1	2020	4.0	-18.950000000000017
5	2020-01-06	206.25	A	High	0	6	2	1	2020	5.0	17.05000000000001
6	2020-01-07	233.3	A	High	1	7	2	1	2020	6.0	27.05000000000001
7	2020-01-08	228.35	A	High	2	8	2	1	2020	7.0	-4.950000000000017
8	2020-01-09	225.4	A	High	3	9	2	1	2020	8.0	-2.9499999999999886
9	2020-01-10	181.45	A	High	4	10	2	1	2020	9.0	-43.95000000000002
10	2020-01-11	177.5	A	High	5	11	2	1	2020	10.0	-3.9499999999999886
11	2020-01-12	213.55	A	High	6	12	2	1	2020	11.0	36.05000000000001
12	2020-01-13	225.6	A	High	0	13	3	1	2020	12.0	12.049999999999983
13	2020-01-14	232.65	A	High	1	14	3	1	2020	13.0	7.050000000000011
14	2020-01-15	205.7	A	High	2	15	3	1	2020	14.0	-26.950000000000017
15	2020-01-16	186.75	A	High	3	16	3	1	2020	15.0	-18.94999999999999
16	2020-01-17	221.8	A	High	4	17	3	1	2020	16.0	35.05000000000001
17	2020-01-18	164.85	A	High	5	18	3	1	2020	17.0	-56.95000000000002
18	2020-01-19	196.9	A	High	6	19	3	1	2020	18.0	32.05000000000001
19	2020-01-20	161.95	A	High	0	20	4	1	2020	19.0	-34.95000000000002
20	2020-01-21	154.0	A	High	1	21	4	1	2020	20.0	-7.949999999999989
21	2020-01-22	146.05	A	High	2	22	4	1	2020	21.0	-7.949999999999989
22	2020-01-23	207.1	A	High	3	23	4	1	2020	22.0	61.04999999999998
23	2020-01-24	214.15	A	High	4	24	4	1	2020	23.0	7.050000000000011
24	2020-01-25	147.2	A	High	5	25	4	1	2020	24.0	-66.95000000000002
25	2020-01-26	171.25	A	High	6	26	4	1	2020	25.0	24.05000000000001
26	2020-01-27	186.3	A	High	0	27	5	1	2020	26.0	15.050000000000011
27	2020-01-28	135.35	A	High	1	28	5	1	2020	27.0	-50.95000000000002
28	2020-01-29	175.4	A	High	2	29	5	1	2020	28.0	40.05000000000001
29	2020-01-30	122.44999999999999	A	High	3	30	5	1	2020	29.0	-52.95000000000002
30	2020-01-31	133.5	A	High	4	31	5	1	2020	30.0	11.050000000000011
